Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
HEATR9	24.1395976345436	0.7255273567303091	0.30887552480010555	7.741542556730373e-4	0.018144059093867654	TRUE
C2-AS1	86.35939682767929	0.7254532929415816	0.23500493499635414	1.0482848770593184e-4	0.008246507699533305	TRUE
RNU2-41P	14.415334672909964	0.7244190714998257	0.24948508870456115	1.9641997578543125e-4	0.010699284500945214	TRUE
LINC01872	3.402649146115358	0.7229519789767983	0.29809396164661084	7.144490332272588e-4	0.01752965409286003	TRUE
RN7SL697P	2.15509736701225	0.7222245649669187	0.4268902465661242	0.0026459329813626536	0.029701822613113407	TRUE
C1QB	154.8931045464442	0.7219091328041661	0.2929017343202042	0.7395416925728351	0.8346277078671535	FALSE
LOC124903808	5.247620799638686	0.7212389876091784	0.3351753643239027	0.0012470660084374068	0.022044660281968432	TRUE
WBP2NL	93.23678549748185	0.7207377736471459	0.12106683605623156	1.7008831212604223e-10	3.893661641189359e-6	TRUE
RN7SKP292	3.27570134147812	0.7207217851814192	0.29133853351982597	6.288753754697626e-4	0.01666020192387246	TRUE
PHKA1-AS1	4.645384692139233	0.720162838858929	0.3205779463657158	0.001020119913559598	0.020135191769500852	TRUE
LOC124903256	4.825137742236596	0.7192116227800114	0.5115425950546014	0.0038536957179835882	0.03497082344952274	TRUE
SMO	392.26013824640773	0.7184911814420585	0.19997486874494053	1.7842358003581457e-5	0.004299444835978807	TRUE
FOXJ1	75.28806869498065	0.7182774391678511	0.275148832287525	4.0731714136829704e-4	0.014301421069505382	TRUE
SOD3	345.5282973476368	0.7163981172247745	0.20650053666251086	2.8055430338781918e-5	0.00505098481074941	TRUE
OR6K3	5.943522273992455	0.7156265730175486	0.24554854513759433	1.893450877511986e-4	0.010495127721066437	TRUE
RNU6-611P	9.224902877353053	0.7149694766921373	0.2637435648218823	3.5279803336151785e-4	0.013478134924714967	TRUE
C16orf90	7.7318634530365555	0.7147177614791959	0.29210689326477973	6.2076312028613e-4	0.01659143737921543	TRUE
NTRAS	2.442685941042714	0.714435349833345	0.4612625005694133	0.003341992591224407	0.03266647924778357	TRUE
